ID,z,,,,
772,3.8531,,,,
804,3.6645,,,,
1109,3.9183,,,,
1167,3.6673,,,,
1961,3.6418,,,,
8803,3.208,,,,
16125,3.3659,,,,
22266,3.1371,,,,
22812,3.0736,,,,
26566,3.1336,,,,
26788,3.8499,,,,
27145,"3.2001	",,,,
30578,3.1317,,,,
31479,3.2072,,,,
31873,3.2334,,,,
49372,3.2435,,,,
70173,3.0043,,,,
71890,3.4183,,,,
79534,3.2167,,,,
113,5.788,,,,
761,5.546,,,,
903,5.7762,,,,
3012,5.277,,,,
6189,5.1834,,,,
14285,5.4415,,,,
24707,5.9383,,,,
44699,5.0355,,,,
47918,5.7774,,,,
53927,5.8725,,,,
54834,5.7819,,,,
62309,5.1747,,,,
79349,5.1868,,,,
80185,5.4926,,,,
81497,5.3967,,,,
83030,5.1236,,,,
