ID,z,SFR,SFR_err,Muv,Mstar,logM,logM_err,Filters
772,3.8531,14.289607274263103,9.87632514048697,-21.79430872610233,31674384657.452736,10.500708186539896,0.4028322817249911,"['F775W', 'F814W']"
804,3.6645,13.707939760775595,9.473615568093752,-22.555865248685407,83714442726.59189,10.922800390554345,0.4011847609739551,"['F606W', 'F775W', 'F814W']"
1109,3.9183,5.588517109497085,3.8700597909579764,-22.066231848941072,41952697124.66803,10.622759886707193,0.4010659545346248,"['F775W', 'F814W']"
1167,3.6673,3.2554215200944197,2.261640473082361,-19.17039913558618,1696062481.181926,9.229441847173472,0.46687344887569227,"['F606W', 'F775W', 'F814W']"
1961,3.6418,1.817180119787679,1.2764978126164785,-20.190989206304174,5564769565.222071,9.745447185090399,0.41539260438119086,"['F606W', 'F775W', 'F814W']"
8803,3.208,2.0028659117821683,1.4010080076818265,-19.319965598518415,2583455852.648763,9.412201044509569,0.41875231260921003,['F606W']
16125,3.3659,2.7903902050948934,1.9388376561639513,-20.725470207212922,11927736100.58851,10.076558021849529,0.4085496308112288,['F606W']
22266,3.1371,1.7187725980319453,1.192613179878111,-20.526629607044306,10795539702.202738,10.033244358928656,0.4069278988196342,['F606W']
22812,3.0736,6.208559521006469,4.293368872019123,-21.7285276399113,44700841947.929596,10.650315703219102,0.4004518143839028,['F606W']
26566,3.1336,15.714662153435436,10.861484161801274,-22.126870823995823,68272708983.91363,10.83424713550766,0.40089880221754026,['F606W']
26788,3.8499,2.6294754848217465,1.8658460970531663,-20.219542166200902,5176216127.329066,9.714012401537538,0.4117927586534347,"['F775W', 'F814W']"
27145,3.2001,17.675062839901,12.213517848514883,-21.80789835054579,45512014778.86984,10.65812606178583,0.4024613972915936,['F606W']
30578,3.1317,0.8305935674042664,0.6336160973409599,-20.01464642246774,6006398449.824518,9.778614138855353,0.4327307267672067,['F606W']
31479,3.2072,2.3138249015422048,1.6066142669512595,-21.191700997393617,22298051796.984497,10.348266919963846,0.4033999214000885,['F606W']
31873,3.2334,1.2678959322537977,0.883120071918196,-19.103734536888545,1985239626.2840056,9.29781293532678,0.4277471028379483,['F606W']
49372,3.2435,1.866505743167403,1.2988360127457692,-19.37048813535754,2683527017.295533,9.428705972048357,0.404768327077263,['F606W']
70173,3.0043,10.60085472207784,7.335667353406088,-22.773902994491827,155198543116.64526,11.190887640122096,0.4013663935736632,['F606W']
71890,3.4183,16.87005917791081,11.656535332945339,-21.75151880956107,37769994594.266495,10.577146922670247,0.40450588142837834,['F606W']
79534,3.2167,3.7221975198483976,2.589516856813803,-20.218399725661307,7232115832.888779,9.859265373382899,0.4152939341417283,['F606W']
113,5.788,4.686157517055013,3.2710814129619252,-21.648747162327453,11972729770.701775,10.078193180414194,0.41250453076803467,"['F090W', 'F115W', 'F850LP', 'F105W']"
761,5.546,6.7972116560483835,4.717117735391446,-21.531363861247634,11411415751.654701,10.057339528291052,0.41191569282064944,"['F090W', 'F850LP', 'F105W']"
903,5.7762,5.137999099251935,3.5839334932897513,-22.04330445823887,18935872091.024445,10.277285311336854,0.40617996590754296,"['F090W', 'F115W', 'F850LP', 'F105W']"
3012,5.277,6.41948640081759,4.495003838778272,-21.062278712914086,7354179869.516042,9.866534247695338,0.4186349753399427,"['F090W', 'F814W', 'F850LP', 'F105W']"
6189,5.1834,1.3569175234745472,1.016937069043231,-20.878210675543322,6168218049.973236,9.79015971786818,0.4321452966043914,"['F090W', 'F814W', 'F850LP', 'F105W']"
14285,5.4415,2.7311084734266755,1.9557319236339663,-20.568760457958263,3915717953.04926,9.592811402271618,0.47013385135758456,"['F090W', 'F850LP', 'F105W']"
24707,5.9383,8.253138976080734,5.716476697079572,-21.398706346419992,8518160042.219375,9.930345795493517,0.4423401940087759,"['F115W', 'F850LP', 'F105W']"
44699,5.0355,2.5426389368642397,1.8942191107638364,-19.948487150772614,2241463984.9370394,9.350531765165332,0.45227797298891054,"['F090W', 'F814W', 'F850LP', 'F105W']"
47918,5.7774,3.529986466145858,2.5079900686272065,-20.36124259268798,2729416498.3574433,9.436069812378083,0.4800616779737499,"['F090W', 'F115W', 'F850LP', 'F105W']"
53927,5.8725,9.650339561363497,6.697270200822717,-21.9128003083526,15751603012.165165,10.197324757739086,0.4280181335338549,"['F115W', 'F850LP', 'F105W']"
54834,5.7819,3.203631111221068,2.2877432600614043,-21.174090849895762,6947076939.041825,9.841802108722675,0.4093658571046389,"['F090W', 'F115W', 'F850LP', 'F105W']"
62309,5.1747,5.879703319603658,4.067496915279858,-21.02333979718722,7314621018.124043,9.864191829572578,0.4223665393883865,"['F090W', 'F814W', 'F850LP', 'F105W']"
79349,5.1868,7.325440473354159,5.072187017731496,-21.979836631713866,21897762007.760925,10.340399731399675,0.4075527736366543,"['F090W', 'F814W', 'F850LP', 'F105W']"
80185,5.4926,7.266809188056905,5.045101227511345,-21.1410036886114,7425010813.74298,9.870697090493692,0.4270393250694369,"['F090W', 'F850LP', 'F105W']"
81497,5.3967,2.2738251952957147,1.6491924529662958,-19.251160205044265,873545926.7511698,8.941285742988407,0.619314848561563,"['F090W', 'F814W', 'F850LP', 'F105W']"
83030,5.1236,2.187548207981866,2.7346285577170386,-21.01271042436317,7371211248.93413,9.867538857669931,0.42048018731084374,"['F090W', 'F814W', 'F850LP', 'F105W']"
